Prefix,City,Country
AB,Aberdeen,Scotland
AL,St Albans,England
B,Birmingham,England
BA,Bath,England
BB,Blackburn,England
BD,Bradford,England
BH,Bournemouth,England
BL,Bolton,England
BN,Brighton,England
BR,Bromley,England
BS,Bristol,England
BT,Belfast,Northern Ireland
CA,Carlisle,England
CB,Cambridge,England
CF,Cardiff,England
CH,Chester,England
CM,Chelmsford,England
CO,Colchester,England
CR,Croydon,England
CT,Canterbury,England
CV,Coventry,England
CW,Crewe,England
DA,Dartford,England
DD,Dundee,Scotland
DE,Derby,England
DG,Dumfries,Scotland
DH,Durham,England
DL,Darlington,England
DN,Doncaster,England
DT,Dorchester,England
DY,Dudley,England
E,London,England
EC,London,England
EH,Edinburgh,Scotland
EN,Enfield,England
EX,Exeter,England
FK,Falkirk,Scotland
G,Glasgow,Scotland
GL,Gloucester,England
GU,Guildford,England
HA,Harrow,England
HD,Huddersfield,England
HG,Harrogate,England
HP,Hemel Hempstead,England
HR,Hereford,England
HS,Hebrides,Scotland
HU,Hull,England
HX,Halifax,England
IG,Ilford,England
IP,Ipswich,England
IV,Inverness,England
KA,Kilmarnock,Scotland
KT,Kingston upon Thames,England
KW,Kirkwall,Scotland
KY,Kirkcaldy,Scotland
L,Liverpool,England
LA,Lancaster,England
LD,Llandrindod Wells,England
LE,Leicester,England
LL,Llandudno,England
LN,Lincoln,England
LS,Leeds,England
LU,Luton,England
M,Manchester,England
ME,Medway,England
MK,Milton Keynes,England
ML,Motherwell,Scotland
N,London,England
NE,Newcastle upon Tyne,England
NG,Nottingham,England
NN,Northampton,England
NP,Newport,England
NR,Norwich,England
NW,London,England
OL,Oldham,England
OX,Oxford,England
PA,Paisley,Scotland
PE,Peterborough,England
PH,Perth,Scotland
PL,Plymouth,England
PO,Portsmouth,England
PR,Preston,England
RG,Reading,England
RH,Redhill,England
RM,Romford,England
S,Sheffield,England
SA,Swansea,England
SE,London,England
SG,Stevenage,England
SK,Stockport,England
SL,Slough,England
SM,Sutton,England
SN,Swindon,England
SO,Southampton,England
SP,Salisbury,England
SR,Sunderland,England
SS,Southend-on-Sea,England
ST,Stoke-on-Trent,England
SW,London,England
SY,Shrewsbury,England
TA,Taunton,England
TD,Galashiels,Scotland
TF,Telford,England
TN,Tunbridge Wells,England
TQ,Torquay,England
TR,Truro,England
TS,Teesside,England
TW,Twickenham,England
UB,Southall,England
W,London,England
WA,Warrington,England
WC,London,England
WD,Watford,England
WF,Wakefield,England
WN,Wigan,England
WR,Worcester,England
WS,Walsall,England
WV,Wolverhampton,England
YO,York,England
ZE,Lerwick,Scotland
